gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CG30115 GEFmeso Gene Expression,1282.587275604122,1.0180599769881065,0.23367122557225448,4.356805055885273,1.3197471201883348e-05,0.001612201179472301,Cocaine_vs_Sucrose_Male,1.0180599769881065,True
Dmel_CG9034 NdufA3 Gene Expression,10854.234146059509,0.8038244162431715,0.18436563237985604,4.359947165136608,1.300938511664451e-05,0.001612201179472301,Cocaine_vs_Sucrose_Male,0.8038244162431715,False
Dmel_CG43770 Sxl Gene Expression,14396.03940772506,0.7999781837953528,0.18457114835745175,4.33425370603463,1.4625542752826731e-05,0.001755260137575912,Cocaine_vs_Sucrose_Male,0.7999781837953528,False
Dmel_CG14821 tow Gene Expression,6527.645739502759,0.7361554242601923,0.1701580912101624,4.326302787159067,1.51632953618337e-05,0.0017958529151561203,Cocaine_vs_Sucrose_Male,0.7361554242601923,False
Dmel_CG9748 bel Gene Expression,12323.993537788901,0.8557393450050111,0.1983356349658664,4.314602089293151,1.5989063335087445e-05,0.0018690592088197674,Cocaine_vs_Sucrose_Male,0.8557393450050111,False
Dmel_CG3027 pyd3 Gene Expression,130.39603582988045,1.4723672332082656,0.3419948683843634,4.305231947379667,1.6681086471841364e-05,0.0019249546068338989,Cocaine_vs_Sucrose_Male,1.4723672332082656,True
Dmel_CG8649 Fim Gene Expression,11250.214917579682,0.6526138369050822,0.15261351341828502,4.276251966733707,1.9006609736005247e-05,0.0020747134976310255,Cocaine_vs_Sucrose_Male,0.6526138369050822,False
Dmel_CG3039 ogre Gene Expression,1052.3458908514713,0.9191415970871244,0.21500114039768864,4.275054520115493,1.9109052719005837e-05,0.0020747134976310255,Cocaine_vs_Sucrose_Male,0.9191415970871244,False
Dmel_CG18508 CG18508 Gene Expression,2039.4242543343032,0.763353156003689,0.17827067276435832,4.281989539651899,1.852296915777406e-05,0.0020747134976310255,Cocaine_vs_Sucrose_Male,0.763353156003689,False
Dmel_CG11266 Caper Gene Expression,9680.87770679752,0.5743815319698751,0.1341012741430276,4.283192204104342,1.842308936058456e-05,0.0020747134976310255,Cocaine_vs_Sucrose_Male,0.5743815319698751,False
Dmel_CG31509 TotA Gene Expression,88.73682951326509,-2.063860628331982,0.48279759268426614,-4.274794778609593,1.9131343217795256e-05,0.0020747134976310255,Cocaine_vs_Sucrose_Male,-2.063860628331982,True
Dmel_CG10804 CG10804 Gene Expression,9723.317845232044,0.6694547162358336,0.15696286898700285,4.265051477182588,1.998561178242247e-05,0.002141553472066484,Cocaine_vs_Sucrose_Male,0.6694547162358336,False
Dmel_CG32982 CG32982 Gene Expression,3951.651123423917,0.9084066308132913,0.21467623494189014,4.231519297230009,2.3211807545812726e-05,0.0024579938790571807,Cocaine_vs_Sucrose_Male,0.9084066308132913,False
Dmel_CG10564 Ac78C Gene Expression,961.0233286692455,0.8301822806035568,0.1968096879968838,4.218198245488309,2.462622578121076e-05,0.0025774495146125356,Cocaine_vs_Sucrose_Male,0.8301822806035568,False
Dmel_CG14482 UQCR-6.4 Gene Expression,13753.734367137888,1.0712688745785959,0.2541371011160085,4.215318699529759,2.494257022239539e-05,0.0025805525812848383,Cocaine_vs_Sucrose_Male,1.0712688745785959,True
